TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/11/28
TIME	16:59:27
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	800.0000
LASTX	300.0000
NPOINTS	501
FIRSTY	0.30726
MAXY	0.97767
MINY	0.30457
XYDATA
591.0000	34.556
590.0000	34.545
589.0000	34.53
588.0000	34.539
587.0000	34.582
586.0000	34.61
585.0000	34.688
584.0000	34.752
583.0000	34.786
582.0000	34.806
581.0000	34.887
580.0000	34.926
579.0000	34.932
578.0000	34.992
577.0000	35.017
576.0000	35.104
575.0000	35.168
574.0000	35.202
573.0000	35.194
572.0000	35.154
571.0000	35.21
570.0000	35.237
569.0000	35.255
568.0000	35.3
567.0000	35.32
566.0000	35.368
565.0000	35.462
564.0000	35.517
563.0000	35.6
562.0000	35.595
561.0000	35.65
560.0000	35.714
559.0000	35.762
558.0000	35.741
557.0000	35.781
556.0000	35.855
555.0000	35.945
554.0000	35.973
553.0000	36.008
552.0000	36.102
551.0000	36.11
550.0000	36.168
549.0000	36.203
548.0000	36.236
547.0000	36.288
546.0000	36.283
545.0000	36.283
544.0000	36.316
543.0000	36.38
542.0000	36.406
541.0000	36.458
540.0000	36.498
539.0000	36.584
538.0000	36.623
537.0000	36.662
536.0000	36.695
535.0000	36.746
534.0000	36.811
533.0000	36.887
532.0000	36.95
531.0000	37.024
530.0000	37.051
529.0000	37.112
528.0000	37.17
527.0000	37.194
526.0000	37.249
525.0000	37.347
524.0000	37.415
523.0000	37.494
522.0000	37.573
521.0000	37.647
520.0000	37.781
519.0000	37.806
518.0000	37.842
517.0000	37.892
516.0000	37.918
515.0000	37.932
514.0000	38.004
513.0000	38.119
512.0000	38.238
511.0000	38.347
510.0000	38.419
509.0000	38.55
508.0000	38.58
507.0000	38.631
506.0000	38.64
505.0000	38.695
504.0000	38.763
503.0000	38.786
502.0000	38.884
501.0000	39.005
500.0000	39.071
499.0000	39.115
498.0000	39.185
497.0000	39.214
496.0000	39.3
495.0000	39.339
494.0000	39.354
493.0000	39.498
492.0000	39.524
491.0000	39.608
490.0000	39.727
489.0000	39.823
488.0000	39.906
487.0000	39.985
486.0000	40.046
485.0000	40.15
484.0000	40.198
483.0000	40.283
482.0000	40.388
481.0000	40.449
480.0000	40.632
479.0000	40.697
478.0000	40.8
477.0000	40.911
476.0000	40.961
475.0000	41.018
474.0000	41.11
473.0000	41.227
472.0000	41.315
471.0000	41.359
470.0000	41.478
469.0000	41.651
468.0000	41.765
467.0000	41.878
466.0000	41.991
