TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/11/28
TIME	17:02:58
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	800.0000
LASTX	300.0000
NPOINTS	501
FIRSTY	0.10999
MAXY	0.70780
MINY	0.07121
XYDATA
591.0000	8.127
590.0000	8.125
589.0000	8.096
588.0000	8.075
587.0000	8.051
586.0000	8
585.0000	7.966
584.0000	7.948
583.0000	7.909
582.0000	7.88
581.0000	7.868
580.0000	7.849
579.0000	7.837
578.0000	7.79
577.0000	7.753
576.0000	7.749
575.0000	7.719
574.0000	7.694
573.0000	7.676
572.0000	7.645
571.0000	7.641
570.0000	7.615
569.0000	7.579
568.0000	7.55
567.0000	7.517
566.0000	7.49
565.0000	7.469
564.0000	7.449
563.0000	7.439
562.0000	7.417
561.0000	7.398
560.0000	7.381
559.0000	7.369
558.0000	7.333
557.0000	7.305
556.0000	7.272
555.0000	7.268
554.0000	7.247
553.0000	7.217
552.0000	7.208
551.0000	7.188
550.0000	7.185
549.0000	7.182
548.0000	7.154
547.0000	7.138
546.0000	7.145
545.0000	7.131
544.0000	7.129
543.0000	7.126
542.0000	7.121
541.0000	7.125
540.0000	7.146
539.0000	7.154
538.0000	7.15
537.0000	7.158
536.0000	7.185
535.0000	7.205
534.0000	7.206
533.0000	7.233
532.0000	7.265
531.0000	7.287
530.0000	7.311
529.0000	7.354
528.0000	7.379
527.0000	7.425
526.0000	7.468
525.0000	7.506
524.0000	7.527
523.0000	7.579
522.0000	7.628
521.0000	7.667
520.0000	7.794
519.0000	7.841
518.0000	7.883
517.0000	7.932
516.0000	7.985
515.0000	8.034
514.0000	8.116
513.0000	8.197
512.0000	8.288
511.0000	8.369
510.0000	8.465
509.0000	8.566
508.0000	8.657
507.0000	8.758
506.0000	8.851
505.0000	8.951
504.0000	9.06
503.0000	9.161
502.0000	9.28
501.0000	9.393
500.0000	9.504
499.0000	9.627
498.0000	9.746
497.0000	9.854
496.0000	9.994
495.0000	10.102
494.0000	10.227
493.0000	10.362
492.0000	10.491
491.0000	10.633
490.0000	10.768
489.0000	10.9
488.0000	11.029
487.0000	11.164
486.0000	11.294
485.0000	11.43
484.0000	11.561
483.0000	11.695
482.0000	11.851
481.0000	12.002
480.0000	12.15
479.0000	12.302
478.0000	12.455
477.0000	12.628
476.0000	12.786
475.0000	12.939
474.0000	13.102
473.0000	13.27
472.0000	13.426
471.0000	13.566
470.0000	13.738
469.0000	13.9
468.0000	14.045
467.0000	14.214
466.0000	14.392
