===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 21/11/2024
HORA INICIO: 15:21:37
HORA FINAL: 15:33:30
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
57.00000E+0	-1.43000E+0	-4.79910E-3	297.97254E+0	0.00000E+0	0.00000E+0
58.00000E+0	-1.42000E+0	-4.79550E-3	296.11094E+0	0.00000E+0	0.00000E+0
59.00000E+0	-1.41000E+0	-4.79510E-3	294.05018E+0	0.00000E+0	0.00000E+0
60.00000E+0	-1.40000E+0	-4.79150E-3	292.18408E+0	0.00000E+0	0.00000E+0
61.00000E+0	-1.39000E+0	-4.79050E-3	290.15760E+0	0.00000E+0	0.00000E+0
62.00000E+0	-1.38000E+0	-4.78910E-3	288.15435E+0	0.00000E+0	0.00000E+0
63.00000E+0	-1.37000E+0	-4.78550E-3	286.28148E+0	0.00000E+0	0.00000E+0
64.00000E+0	-1.36000E+0	-4.78460E-3	284.24529E+0	0.00000E+0	0.00000E+0
65.00000E+0	-1.35000E+0	-4.78100E-3	282.36771E+0	0.00000E+0	0.00000E+0
66.00000E+0	-1.34000E+0	-4.78100E-3	280.27609E+0	0.00000E+0	0.00000E+0
67.00000E+0	-1.33000E+0	-4.77740E-3	278.39411E+0	0.00000E+0	0.00000E+0
68.00000E+0	-1.32000E+0	-4.77600E-3	276.38191E+0	0.00000E+0	0.00000E+0
69.00000E+0	-1.31000E+0	-4.77410E-3	274.39727E+0	0.00000E+0	0.00000E+0
70.00000E+0	-1.30000E+0	-4.77100E-3	272.47956E+0	0.00000E+0	0.00000E+0
71.00000E+0	-1.29000E+0	-4.77100E-3	270.38357E+0	0.00000E+0	0.00000E+0
72.00000E+0	-1.28000E+0	-4.76740E-3	268.49016E+0	0.00000E+0	0.00000E+0
73.00000E+0	-1.27000E+0	-4.76740E-3	266.39258E+0	0.00000E+0	0.00000E+0
74.00000E+0	-1.26000E+0	-4.76310E-3	264.53360E+0	0.00000E+0	0.00000E+0
75.00000E+0	-1.25000E+0	-4.76360E-3	262.40658E+0	0.00000E+0	0.00000E+0
76.00000E+0	-1.24000E+0	-4.75950E-3	260.53157E+0	0.00000E+0	0.00000E+0
77.00000E+0	-1.23000E+0	-4.75860E-3	258.47938E+0	0.00000E+0	0.00000E+0
78.00000E+0	-1.22000E+0	-4.75810E-3	256.40487E+0	0.00000E+0	0.00000E+0
79.00000E+0	-1.21000E+0	-4.75450E-3	254.49574E+0	0.00000E+0	0.00000E+0
80.00000E+0	-1.20000E+0	-4.75360E-3	252.44026E+0	0.00000E+0	0.00000E+0
81.00000E+0	-1.19000E+0	-4.75100E-3	250.47358E+0	0.00000E+0	0.00000E+0
82.00000E+0	-1.18000E+0	-4.75050E-3	248.39491E+0	0.00000E+0	0.00000E+0
83.00000E+0	-1.17000E+0	-4.74720E-3	246.46107E+0	0.00000E+0	0.00000E+0
84.00000E+0	-1.16000E+0	-4.74640E-3	244.39575E+0	0.00000E+0	0.00000E+0
