C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\DIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
0.589131	72.7842
0.587149	69.0866
0.585096	65.4852
0.583104	62.0386
0.581106	58.7546
0.579081	55.6086
0.577101	52.5645
0.575117	49.6903
0.573154	46.9637
0.567978	40.6931
0.562907	34.8469
0.560902	32.7725
0.558911	30.8271
0.55689	28.977
0.554875	27.2524
0.552852	25.616
0.550882	24.0516
0.548862	22.5976
0.54691	21.2311
0.544911	19.9243
0.542921	18.6987
0.540923	17.5456
0.538924	16.4583
0.536921	15.4361
0.534855	14.4643
0.532898	13.5638
0.530828	12.72
0.52889	11.9357
0.526869	11.1961
0.524875	10.5008
0.522846	9.85902
0.520924	9.25448
0.518902	8.68191
0.516888	8.15039
0.514904	7.65404
0.512895	7.18658
0.510908	6.74943
0.508916	6.34379
0.506927	5.96183
0.504942	5.60553
0.502888	5.27217
0.500884	4.95977
0.498873	4.66764
0.496908	4.40079
0.494954	4.14879
0.49295	3.90662
0.490966	3.68626
0.488923	3.47723
0.486933	3.28161
0.48184	2.85461
0.476678	2.46966
0.474701	2.3391
0.472694	2.21779
0.470716	2.10551
0.468746	1.99843
0.466714	1.89799
0.464737	1.8043
0.462745	1.71596
0.460742	1.63275
0.4587	1.5536
0.456643	1.48039
0.454667	1.41118
0.452673	1.34672
0.450741	1.28617
0.448721	1.22864
0.446685	1.1749
0.444742	1.12466
0.442718	1.07649
0.440681	1.03111
0.438705	0.988566
0.436695	0.947915
0.434705	0.90999
0.432665	0.873331
0.430709	0.839341
0.428674	0.807191
0.426705	0.776647
0.424664	0.747633
0.422648	0.719964
0.420703	0.693857
0.418717	0.669357
0.41669	0.645776
0.414745	0.623419
0.412739	0.602122
0.410675	0.581673
0.408697	0.562462
0.406671	0.543878
0.404713	0.52626
0.402711	0.509357
0.400704	0.493399
0.395611	0.457188
0.39051	0.422872
0.388523	0.410672
0.386522	0.398941
0.384514	0.387552
0.38252	0.376619
0.380544	0.366087
0.378475	0.356015
0.376495	0.346391
0.37451	0.337141
0.372531	0.328098
0.370512	0.319384
0.368547	0.311135
0.366486	0.303079
0.364517	0.29529
0.362564	0.287798
0.36053	0.280662
0.358534	0.27362
0.356522	0.266753
0.354496	0.260192
0.352473	0.253707
0.350487	0.247578
0.34848	0.241628
0.346524	0.235688
0.344479	0.230132
0.342492	0.224761
0.340558	0.21934
0.338474	0.214165
0.336547	0.209098
0.334549	0.204254
0.33253	0.199458
0.330495	0.194741
0.328497	0.190211
0.326443	0.185809
0.324499	0.181532
0.322531	0.177396
0.320438	0.173247
0.318475	0.169307
0.316502	0.165422
0.314501	0.161601
0.312509	0.157952
0.31053	0.154302
0.308497	0.1507
0.306509	0.147259
0.304512	0.143897
0.302554	0.140576
0.300501	0.137294
0.298495	0.134144
0.296516	0.130982
0.29448	0.12792
0.292563	0.124929
0.290526	0.121984
0.288526	0.119106
0.286561	0.116299
0.284568	0.11353
0.282536	0.11084
0.280525	0.108163
0.278534	0.105494
0.276478	0.102917
0.274532	0.10037
0.27248	0.0978687
0.270493	0.0954862
0.268489	0.0930787
0.26656	0.090751
0.264525	0.0884223
0.262544	0.0861157
0.260535	0.0839125
0.25855	0.0817338
0.256569	0.0795453
0.254515	0.0774083
0.252522	0.0752681
0.250517	0.0731998
0.248496	0.0711602
0.246509	0.0691844
0.244493	0.0671465
0.242505	0.0652316
0.240523	0.0633186
0.238541	0.0614181
0.236537	0.0595484
0.234555	0.0576847
0.232483	0.0559214
0.230523	0.0541014
0.228507	0.0523327
0.226494	0.0506038
0.224481	0.0488441
0.222491	0.0471893
0.220494	0.0455496
0.218529	0.0438879
0.216524	0.0422336
0.214519	0.0406644
0.209447	0.0366975
0.204352	0.0328498
0.202333	0.031333
0.200358	0.0298828
0.198312	0.0284529
0.19632	0.027035
0.194365	0.0256486
0.19234	0.0242288
0.1903	0.0228528
0.188412	0.021532
0.186364	0.0201636
0.184353	0.0188503
0.18238	0.0175565
0.18039	0.0162707
0.178333	0.0149563
0.176345	0.0136807
0.174299	0.0124523
0.172353	0.0111866
0.170372	0.0100042
0.168337	8.82326e-3
0.16634	7.61641e-3
0.164358	6.45796e-3
0.162369	5.29917e-3
0.160363	4.16002e-3
0.158348	3.02669e-3
0.156361	1.90407e-3
0.1544	0.802687e-3
0.152333	-0.274857e-3
0.150313	-1.38798e-3
0.14829	-2.46012e-3
0.146288	-3.48756e-3
0.14431	-4.55327e-3
0.142347	-5.56605e-3
0.140336	-6.57058e-3
0.138311	-7.57509e-3
0.136346	-8.5453e-3
0.134347	-9.51314e-3
0.132369	-0.0104617
0.13036	-0.0114128
0.128345	-0.0123486
0.126318	-0.0132651
0.124364	-0.014199
0.122323	-0.0150838
0.120285	-0.0159765
0.118335	-0.0168223
0.116311	-0.0177022
0.114304	-0.0185482
0.11237	-0.0193504
0.110349	-0.0202064
0.108308	-0.0210044
0.106359	-0.0217889
0.104369	-0.0226042
0.102337	-0.0233602
0.100345	-0.0241242
0.0983548	-0.0248476
0.0963307	-0.0255956
0.0943575	-0.0263135
0.092344	-0.0270156
0.0903559	-0.0277316
0.0883605	-0.0284356
0.0863947	-0.0290913
0.0843833	-0.0297278
0.0823719	-0.0303857
0.08037	-0.0310088
0.0783608	-0.0316231
0.0764098	-0.0322505
0.0743507	-0.0328508
0.0723446	-0.0334399
0.0703099	-0.0340042
0.0683781	-0.0345725
0.0663794	-0.0351145
0.0643203	-0.0356578
0.0623598	-0.0361799
0.0603919	-0.0366698
0.0583455	-0.0371691
0.0563765	-0.037644
0.0543959	-0.0381263
0.0523834	-0.0385974
0.0503933	-0.0390189
0.0483299	-0.0394962
0.0463323	-0.0399055
0.0443315	-0.0403169
0.0423265	-0.0407131
0.0403342	-0.0411024
0.0383419	-0.0414899
0.0363475	-0.0418444
0.0343774	-0.0422058
0.0323989	-0.0425494
0.0303462	-0.0428792
