C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\LIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
0.149222	-130.728
0.147165	-130.73
0.145203	-130.761
0.14315	-130.73
0.141181	-130.696
0.139144	-130.694
0.137152	-130.681
0.135215	-130.668
0.133163	-130.725
0.131176	-130.688
0.129181	-130.771
0.127133	-130.771
0.12524	-130.748
0.123116	-130.75
0.121094	-130.689
0.119179	-130.692
0.117117	-130.708
0.115095	-130.722
0.11322	-130.746
0.111108	-130.736
0.10922	-130.743
0.107182	-130.755
0.105183	-130.738
0.10306	-130.699
0.10116	-130.757
0.0992295	-130.751
0.0971545	-130.789
0.0951686	-130.78
0.0931837	-130.825
0.0911129	-130.774
0.0891758	-130.806
0.0872163	-130.69
0.0851498	-130.78
0.0832148	-130.765
0.0811599	-130.801
0.0791835	-130.83
0.0772177	-130.843
0.0751745	-130.854
0.0732162	-130.9
0.0711316	-130.847
0.06924	-130.859
0.0670716	-130.782
0.0651175	-130.869
0.0631846	-130.814
0.0611807	-130.86
0.0592244	-130.886
0.0571473	-130.851
0.0552494	-130.848
0.0531744	-130.832
0.0511672	-130.787
0.0491441	-130.795
0.0471306	-130.794
0.045133	-130.863
0.0431566	-130.895
0.0410519	-130.924
0.0391349	-130.921
0.0371978	-130.904
0.0351259	-130.902
0.0331591	-130.833
0.0311975	-130.86
0.0292371	-130.826
0.0271323	-130.881
0.0251443	-130.88
0.0232379	-130.886
0.021095	-130.855
0.0191408	-130.83
0.0171623	-130.789
0.0151966	-130.802
0.013095	-130.766
0.0111218	-130.883
9.16238e-3	-130.853
7.06824e-3	-130.865
5.17885e-3	-130.878
3.19716e-3	-130.823
1.08074e-3	-130.805
-0.827751e-3	-130.82
-2.84763e-3	-130.813
-4.81659e-3	-130.838
-6.89588e-3	-130.847
-8.81498e-3	-130.873
-0.0109569	-130.912
-0.0128834	-130.907
-0.014794	-130.934
-0.0168797	-130.894
-0.0188253	-130.916
-0.0208855	-130.91
-0.0228534	-130.993
-0.0247544	-130.938
-0.026856	-131.019
-0.0287783	-130.949
-0.030847	-131.011
-0.0328223	-130.913
-0.0349186	-130.941
-0.0368536	-130.86
-0.0387727	-130.97
-0.0409177	-130.903
-0.0429058	-130.992
-0.0449098	-130.906
-0.0468851	-130.953
-0.0489039	-130.88
-0.0508729	-130.933
-0.0528068	-130.877
-0.0548511	-130.934
-0.0568582	-130.899
-0.0588877	-130.987
-0.0608938	-130.931
-0.0628999	-131.027
-0.0648773	-130.925
-0.0668749	-130.942
-0.068777	-130.867
-0.0708192	-130.875
-0.0728656	-130.892
-0.0748505	-130.915
-0.0769308	-130.888
-0.0788722	-130.942
-0.0808401	-130.887
-0.0829162	-130.98
-0.0848205	-130.903
-0.0868976	-130.921
-0.0888157	-130.86
-0.0908462	-130.919
-0.09297	-130.93
-0.0948986	-130.92
-0.0968941	-130.939
-0.0989066	-130.947
-0.100897	-130.921
-0.102912	-131.015
-0.104856	-130.939
-0.10687	-131.017
-0.108842	-130.963
-0.110847	-131.02
-0.112879	-130.995
-0.114839	-131.043
-0.116868	-130.997
-0.118819	-131.073
-0.120822	-130.956
-0.122786	-131.058
-0.124775	-130.954
-0.126843	-131.062
-0.128762	-130.976
-0.130798	-131.086
-0.132859	-130.976
-0.134912	-131.074
-0.136918	-130.943
-0.138829	-131.028
-0.140785	-130.914
-0.142858	-131.062
-0.144792	-130.942
-0.146838	-131.055
-0.148851	-130.963
-0.150908	-131.074
-0.152812	-130.922
-0.154867	-131.023
-0.156898	-130.941
-0.15884	-130.989
-0.160908	-130.917
-0.162815	-131.016
-0.164802	-130.943
-0.166885	-131.04
-0.168816	-130.933
-0.170829	-131.035
-0.172821	-130.932
-0.174784	-130.956
-0.176885	-130.946
-0.178775	-130.984
-0.180823	-130.956
-0.182871	-131.028
-0.184762	-130.947
-0.186835	-131.038
-0.188767	-130.941
-0.190912	-130.96
-0.192846	-130.938
-0.194782	-130.99
-0.196832	-130.998
-0.198825	-131.016
-0.200876	-131.032
-0.20279	-131.061
-0.20489	-131.064
-0.20679	-131.057
-0.208794	-131.006
-0.210872	-131.025
-0.212839	-130.986
-0.214742	-131.051
-0.216863	-131.064
-0.218783	-131.046
-0.220834	-131.029
-0.222791	-131.016
-0.224738	-131.007
-0.226851	-131.023
-0.228723	-131
-0.230735	-131.066
-0.232776	-131.022
-0.23476	-131.065
-0.236835	-131.017
-0.238754	-131.033
-0.240875	-131.008
-0.242771	-131.003
-0.244731	-130.989
-0.246833	-131.059
-0.248759	-130.993
-0.250866	-131.112
-0.252811	-131.081
-0.254822	-131.085
-0.256755	-131.028
-0.258766	-131.038
-0.260879	-130.967
-0.262866	-131.028
-0.264834	-130.99
-0.266851	-131.045
-0.268822	-131.05
-0.270812	-131.086
-0.272762	-131.009
-0.274861	-131.044
-0.276762	-130.959
-0.278746	-130.994
-0.280812	-131.003
-0.282759	-131.018
-0.284861	-131.049
-0.286817	-131.071
-0.288879	-131.074
-0.290838	-131.055
-0.29285	-131.004
-0.294833	-131.027
-0.296785	-131.045
-0.298871	-131.054
-0.30078	-131.117
-0.302725	-131.117
-0.304816	-131.143
-0.306727	-131.116
-0.308801	-131.096
-0.310762	-131.076
-0.312851	-131.065
-0.314839	-131.112
-0.316706	-131.115
-0.318858	-131.104
-0.320763	-131.145
-0.322825	-131.079
-0.32471	-131.082
-0.32675	-131.077
-0.328865	-131.003
-0.330763	-131.032
-0.332729	-131.014
-0.334839	-131.069
-0.33682	-131.092
-0.338722	-131.098
-0.340804	-131.084
-0.342805	-131.083
-0.344753	-131.009
-0.346881	-131.062
-0.348768	-131.003
-0.35078	-131.04
-0.352704	-130.971
-0.354829	-131.109
-0.356699	-131.015
-0.358683	-131.096
-0.360857	-131.009
-0.36278	-131.05
-0.364777	-130.979
-0.366826	-131.05
-0.368773	-130.993
-0.370761	-131.12
-0.372816	-131.03
-0.374745	-131.122
-0.376811	-131.002
-0.378741	-131.114
-0.380741	-131.026
-0.382834	-131.115
-0.384745	-131.065
-0.386744	-131.137
-0.388795	-131.093
-0.390757	-131.172
-0.392786	-131.085
-0.394747	-131.12
-0.396888	-131.034
-0.398796	-131.095
-0.400709	-131.043
-0.402774	-131.106
-0.404804	-131.077
-0.406745	-131.147
-0.408823	-131.123
-0.410788	-131.139
-0.412801	-131.116
-0.414792	-131.123
-0.416757	-131.077
-0.41877	-131.165
-0.420824	-131.124
-0.422763	-131.198
-0.424805	-131.15
-0.426769	-131.179
-0.428851	-131.122
-0.430726	-131.125
-0.432712	-131.07
-0.434814	-131.126
-0.436735	-131.07
-0.438728	-131.192
-0.440778	-131.084
-0.442736	-131.186
-0.444788	-131.136
