===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 05/11/2024
HORA INICIO: 16:51:43
HORA FINAL: 16:55:54
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-1
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
57.00000E+0	-1.43000E+0	-8.09190E-3	176.71993E+0	0.00000E+0	0.00000E+0
58.00000E+0	-1.42000E+0	-8.09100E-3	175.50365E+0	0.00000E+0	0.00000E+0
59.00000E+0	-1.41000E+0	-8.08720E-3	174.34959E+0	0.00000E+0	0.00000E+0
60.00000E+0	-1.40000E+0	-8.08760E-3	173.10451E+0	0.00000E+0	0.00000E+0
61.00000E+0	-1.39000E+0	-8.08290E-3	171.96798E+0	0.00000E+0	0.00000E+0
62.00000E+0	-1.38000E+0	-8.08050E-3	170.78151E+0	0.00000E+0	0.00000E+0
63.00000E+0	-1.37000E+0	-8.08240E-3	169.50411E+0	0.00000E+0	0.00000E+0
64.00000E+0	-1.36000E+0	-8.07620E-3	168.39603E+0	0.00000E+0	0.00000E+0
65.00000E+0	-1.35000E+0	-8.07720E-3	167.13713E+0	0.00000E+0	0.00000E+0
66.00000E+0	-1.34000E+0	-8.07190E-3	166.00800E+0	0.00000E+0	0.00000E+0
67.00000E+0	-1.33000E+0	-8.07280E-3	164.75077E+0	0.00000E+0	0.00000E+0
68.00000E+0	-1.32000E+0	-8.06900E-3	163.58904E+0	0.00000E+0	0.00000E+0
69.00000E+0	-1.31000E+0	-8.06900E-3	162.34973E+0	0.00000E+0	0.00000E+0
70.00000E+0	-1.30000E+0	-8.06620E-3	161.16635E+0	0.00000E+0	0.00000E+0
71.00000E+0	-1.29000E+0	-8.06190E-3	160.01191E+0	0.00000E+0	0.00000E+0
72.00000E+0	-1.28000E+0	-8.06280E-3	158.75378E+0	0.00000E+0	0.00000E+0
73.00000E+0	-1.27000E+0	-8.05850E-3	157.59757E+0	0.00000E+0	0.00000E+0
74.00000E+0	-1.26000E+0	-8.05950E-3	156.33724E+0	0.00000E+0	0.00000E+0
75.00000E+0	-1.25000E+0	-8.05570E-3	155.16963E+0	0.00000E+0	0.00000E+0
76.00000E+0	-1.24000E+0	-8.05570E-3	153.92827E+0	0.00000E+0	0.00000E+0
77.00000E+0	-1.23000E+0	-8.05090E-3	152.77795E+0	0.00000E+0	0.00000E+0
78.00000E+0	-1.22000E+0	-8.04900E-3	151.57162E+0	0.00000E+0	0.00000E+0
79.00000E+0	-1.21000E+0	-8.05090E-3	150.29376E+0	0.00000E+0	0.00000E+0
80.00000E+0	-1.20000E+0	-8.04520E-3	149.15726E+0	0.00000E+0	0.00000E+0
81.00000E+0	-1.19000E+0	-8.04570E-3	147.90509E+0	0.00000E+0	0.00000E+0
82.00000E+0	-1.18000E+0	-8.04330E-3	146.70595E+0	0.00000E+0	0.00000E+0
83.00000E+0	-1.17000E+0	-8.04230E-3	145.48077E+0	0.00000E+0	0.00000E+0
84.00000E+0	-1.16000E+0	-8.03850E-3	144.30553E+0	0.00000E+0	0.00000E+0
85.00000E+0	-1.15000E+0	-8.03900E-3	143.05262E+0	0.00000E+0	0.00000E+0
86.00000E+0	-1.14000E+0	-8.03610E-3	141.85986E+0	0.00000E+0	0.00000E+0
87.00000E+0	-1.13000E+0	-8.03140E-3	140.69776E+0	0.00000E+0	0.00000E+0
88.00000E+0	-1.12000E+0	-8.03420E-3	139.40405E+0	0.00000E+0	0.00000E+0
89.00000E+0	-1.11000E+0	-8.02990E-3	138.23335E+0	0.00000E+0	0.00000E+0
90.00000E+0	-1.10000E+0	-8.03040E-3	136.97948E+0	0.00000E+0	0.00000E+0
91.00000E+0	-1.09000E+0	-8.02710E-3	135.79001E+0	0.00000E+0	0.00000E+0
92.00000E+0	-1.08000E+0	-8.02660E-3	134.55261E+0	0.00000E+0	0.00000E+0
93.00000E+0	-1.07000E+0	-8.02280E-3	133.36990E+0	0.00000E+0	0.00000E+0
94.00000E+0	-1.06000E+0	-8.02140E-3	132.14651E+0	0.00000E+0	0.00000E+0
95.00000E+0	-1.05000E+0	-8.02330E-3	130.86884E+0	0.00000E+0	0.00000E+0
96.00000E+0	-1.04000E+0	-8.01800E-3	129.70816E+0	0.00000E+0	0.00000E+0
97.00000E+0	-1.03000E+0	-8.01950E-3	128.43693E+0	0.00000E+0	0.00000E+0
98.00000E+0	-1.02000E+0	-8.01660E-3	127.23599E+0	0.00000E+0	0.00000E+0
99.00000E+0	-1.01000E+0	-8.01560E-3	126.00429E+0	0.00000E+0	0.00000E+0
100.00000E+0	-1.00000E+0	-8.01230E-3	124.80811E+0	0.00000E+0	0.00000E+0
101.00000E+0	-990.00000E-3	-8.01420E-3	123.53073E+0	0.00000E+0	0.00000E+0
102.00000E+0	-980.00000E-3	-8.01090E-3	122.33332E+0	0.00000E+0	0.00000E+0
103.00000E+0	-970.00000E-3	-8.00660E-3	121.15005E+0	0.00000E+0	0.00000E+0
104.00000E+0	-960.00000E-3	-8.00940E-3	119.85917E+0	0.00000E+0	0.00000E+0
105.00000E+0	-950.00000E-3	-8.00660E-3	118.65211E+0	0.00000E+0	0.00000E+0
106.00000E+0	-940.00000E-3	-8.00560E-3	117.41781E+0	0.00000E+0	0.00000E+0
107.00000E+0	-930.00000E-3	-8.00370E-3	116.19626E+0	0.00000E+0	0.00000E+0
108.00000E+0	-920.00000E-3	-8.00370E-3	114.94684E+0	0.00000E+0	0.00000E+0
109.00000E+0	-910.00000E-3	-7.99940E-3	113.75853E+0	0.00000E+0	0.00000E+0
110.00000E+0	-900.00000E-3	-7.99890E-3	112.51547E+0	0.00000E+0	0.00000E+0
111.00000E+0	-890.00000E-3	-8.00040E-3	111.24444E+0	0.00000E+0	0.00000E+0
112.00000E+0	-880.00000E-3	-7.99460E-3	110.07430E+0	0.00000E+0	0.00000E+0
113.00000E+0	-870.00000E-3	-7.99560E-3	108.80985E+0	0.00000E+0	0.00000E+0
114.00000E+0	-860.00000E-3	-7.99460E-3	107.57261E+0	0.00000E+0	0.00000E+0
115.00000E+0	-850.00000E-3	-7.99460E-3	106.32177E+0	0.00000E+0	0.00000E+0
116.00000E+0	-840.00000E-3	-7.99080E-3	105.12089E+0	0.00000E+0	0.00000E+0
117.00000E+0	-830.00000E-3	-7.99320E-3	103.83826E+0	0.00000E+0	0.00000E+0
118.00000E+0	-820.00000E-3	-7.98990E-3	102.62957E+0	0.00000E+0	0.00000E+0
119.00000E+0	-810.00000E-3	-7.98650E-3	101.42115E+0	0.00000E+0	0.00000E+0
120.00000E+0	-800.00000E-3	-7.98890E-3	100.13894E+0	0.00000E+0	0.00000E+0
121.00000E+0	-790.00000E-3	-7.98510E-3	98.93427E+0	0.00000E+0	0.00000E+0
122.00000E+0	-780.00000E-3	-7.98560E-3	97.67582E+0	0.00000E+0	0.00000E+0
123.00000E+0	-770.00000E-3	-7.98370E-3	96.44651E+0	0.00000E+0	0.00000E+0
124.00000E+0	-760.00000E-3	-7.98420E-3	95.18800E+0	0.00000E+0	0.00000E+0
125.00000E+0	-750.00000E-3	-7.98080E-3	93.97554E+0	0.00000E+0	0.00000E+0
126.00000E+0	-740.00000E-3	-7.98180E-3	92.71092E+0	0.00000E+0	0.00000E+0
127.00000E+0	-730.00000E-3	-7.98270E-3	91.44776E+0	0.00000E+0	0.00000E+0
128.00000E+0	-720.00000E-3	-7.97700E-3	90.25950E+0	0.00000E+0	0.00000E+0
129.00000E+0	-710.00000E-3	-7.97890E-3	88.98470E+0	0.00000E+0	0.00000E+0
130.00000E+0	-700.00000E-3	-7.97700E-3	87.75229E+0	0.00000E+0	0.00000E+0
131.00000E+0	-690.00000E-3	-7.97650E-3	86.50411E+0	0.00000E+0	0.00000E+0
132.00000E+0	-680.00000E-3	-7.97410E-3	85.27608E+0	0.00000E+0	0.00000E+0
133.00000E+0	-670.00000E-3	-7.97560E-3	84.00622E+0	0.00000E+0	0.00000E+0
134.00000E+0	-660.00000E-3	-7.97220E-3	82.78769E+0	0.00000E+0	0.00000E+0
135.00000E+0	-650.00000E-3	-7.97030E-3	81.55276E+0	0.00000E+0	0.00000E+0
136.00000E+0	-640.00000E-3	-7.97270E-3	80.27393E+0	0.00000E+0	0.00000E+0
137.00000E+0	-630.00000E-3	-7.96940E-3	79.05238E+0	0.00000E+0	0.00000E+0
138.00000E+0	-620.00000E-3	-7.96940E-3	77.79758E+0	0.00000E+0	0.00000E+0
139.00000E+0	-610.00000E-3	-7.96840E-3	76.55238E+0	0.00000E+0	0.00000E+0
140.00000E+0	-600.00000E-3	-7.96890E-3	75.29270E+0	0.00000E+0	0.00000E+0
141.00000E+0	-590.00000E-3	-7.96600E-3	74.06478E+0	0.00000E+0	0.00000E+0
142.00000E+0	-580.00000E-3	-7.96700E-3	72.80030E+0	0.00000E+0	0.00000E+0
143.00000E+0	-570.00000E-3	-7.96650E-3	71.54961E+0	0.00000E+0	0.00000E+0
144.00000E+0	-560.00000E-3	-7.96220E-3	70.33232E+0	0.00000E+0	0.00000E+0
145.00000E+0	-550.00000E-3	-7.96510E-3	69.05124E+0	0.00000E+0	0.00000E+0
146.00000E+0	-540.00000E-3	-7.96220E-3	67.82045E+0	0.00000E+0	0.00000E+0
147.00000E+0	-530.00000E-3	-7.96320E-3	66.55616E+0	0.00000E+0	0.00000E+0
148.00000E+0	-520.00000E-3	-7.95980E-3	65.32827E+0	0.00000E+0	0.00000E+0
149.00000E+0	-510.00000E-3	-7.96180E-3	64.05587E+0	0.00000E+0	0.00000E+0
150.00000E+0	-500.00000E-3	-7.95940E-3	62.81881E+0	0.00000E+0	0.00000E+0
151.00000E+0	-490.00000E-3	-7.95750E-3	61.57713E+0	0.00000E+0	0.00000E+0
152.00000E+0	-480.00000E-3	-7.95980E-3	60.30302E+0	0.00000E+0	0.00000E+0
153.00000E+0	-470.00000E-3	-7.95650E-3	59.07120E+0	0.00000E+0	0.00000E+0
154.00000E+0	-460.00000E-3	-7.95650E-3	57.81437E+0	0.00000E+0	0.00000E+0
155.00000E+0	-450.00000E-3	-7.95550E-3	56.56464E+0	0.00000E+0	0.00000E+0
156.00000E+0	-440.00000E-3	-7.95600E-3	55.30417E+0	0.00000E+0	0.00000E+0
157.00000E+0	-430.00000E-3	-7.95360E-3	54.06357E+0	0.00000E+0	0.00000E+0
158.00000E+0	-420.00000E-3	-7.95460E-3	52.79964E+0	0.00000E+0	0.00000E+0
159.00000E+0	-410.00000E-3	-7.95460E-3	51.54250E+0	0.00000E+0	0.00000E+0
160.00000E+0	-400.00000E-3	-7.95130E-3	50.30624E+0	0.00000E+0	0.00000E+0
161.00000E+0	-390.00000E-3	-7.95320E-3	49.03687E+0	0.00000E+0	0.00000E+0
162.00000E+0	-380.00000E-3	-7.95130E-3	47.79093E+0	0.00000E+0	0.00000E+0
163.00000E+0	-370.00000E-3	-7.95270E-3	46.52508E+0	0.00000E+0	0.00000E+0
164.00000E+0	-360.00000E-3	-7.95080E-3	45.27846E+0	0.00000E+0	0.00000E+0
165.00000E+0	-350.00000E-3	-7.95270E-3	44.01021E+0	0.00000E+0	0.00000E+0
166.00000E+0	-340.00000E-3	-7.94890E-3	42.77321E+0	0.00000E+0	0.00000E+0
167.00000E+0	-330.00000E-3	-7.94650E-3	41.52772E+0	0.00000E+0	0.00000E+0
168.00000E+0	-320.00000E-3	-7.94940E-3	40.25461E+0	0.00000E+0	0.00000E+0
169.00000E+0	-310.00000E-3	-7.94600E-3	39.01334E+0	0.00000E+0	0.00000E+0
170.00000E+0	-300.00000E-3	-7.94790E-3	37.74582E+0	0.00000E+0	0.00000E+0
171.00000E+0	-290.00000E-3	-7.94550E-3	36.49865E+0	0.00000E+0	0.00000E+0
172.00000E+0	-280.00000E-3	-7.94650E-3	35.23564E+0	0.00000E+0	0.00000E+0
173.00000E+0	-270.00000E-3	-7.94410E-3	33.98749E+0	0.00000E+0	0.00000E+0
174.00000E+0	-260.00000E-3	-7.94600E-3	32.72087E+0	0.00000E+0	0.00000E+0
175.00000E+0	-250.00000E-3	-7.94600E-3	31.46237E+0	0.00000E+0	0.00000E+0
176.00000E+0	-240.00000E-3	-7.94220E-3	30.21833E+0	0.00000E+0	0.00000E+0
177.00000E+0	-230.00000E-3	-7.94460E-3	28.95048E+0	0.00000E+0	0.00000E+0
178.00000E+0	-220.00000E-3	-7.94220E-3	27.70013E+0	0.00000E+0	0.00000E+0
179.00000E+0	-210.00000E-3	-7.94320E-3	26.43771E+0	0.00000E+0	0.00000E+0
180.00000E+0	-200.00000E-3	-7.94120E-3	25.18511E+0	0.00000E+0	0.00000E+0
181.00000E+0	-190.00000E-3	-7.94220E-3	23.92284E+0	0.00000E+0	0.00000E+0
182.00000E+0	-180.00000E-3	-7.93930E-3	22.67202E+0	0.00000E+0	0.00000E+0
183.00000E+0	-170.00000E-3	-7.93890E-3	21.41355E+0	0.00000E+0	0.00000E+0
184.00000E+0	-160.00000E-3	-7.94220E-3	20.14555E+0	0.00000E+0	0.00000E+0
185.00000E+0	-150.00000E-3	-7.93790E-3	18.89669E+0	0.00000E+0	0.00000E+0
186.00000E+0	-140.00000E-3	-7.93890E-3	17.63468E+0	0.00000E+0	0.00000E+0
187.00000E+0	-130.00000E-3	-7.93740E-3	16.37816E+0	0.00000E+0	0.00000E+0
188.00000E+0	-120.00000E-3	-7.93740E-3	15.11830E+0	0.00000E+0	0.00000E+0
189.00000E+0	-110.00000E-3	-7.93460E-3	13.86333E+0	0.00000E+0	0.00000E+0
190.00000E+0	-100.00000E-3	-7.93650E-3	12.60001E+0	0.00000E+0	0.00000E+0
191.00000E+0	-90.00000E-3	-7.93550E-3	11.34144E+0	0.00000E+0	0.00000E+0
192.00000E+0	-80.00000E-3	-7.93270E-3	10.08484E+0	0.00000E+0	0.00000E+0
193.00000E+0	-70.00000E-3	-7.93550E-3	8.82112E+0	0.00000E+0	0.00000E+0
194.00000E+0	-60.00000E-3	-7.93270E-3	7.56363E+0	0.00000E+0	0.00000E+0
195.00000E+0	-50.00000E-3	-7.93410E-3	6.30191E+0	0.00000E+0	0.00000E+0
196.00000E+0	-40.00000E-3	-7.92930E-3	5.04458E+0	0.00000E+0	0.00000E+0
197.00000E+0	-30.00000E-3	-7.93220E-3	3.78205E+0	0.00000E+0	0.00000E+0
198.00000E+0	-20.00000E-3	-7.92840E-3	2.52258E+0	0.00000E+0	0.00000E+0
199.00000E+0	-10.00000E-3	-7.92650E-3	1.26159E+0	0.00000E+0	0.00000E+0
200.00000E+0	0.00000E+0	-7.92690E-3	-0.00000E+0	0.00000E+0	0.00000E+0
201.00000E+0	10.00000E-3	-7.92220E-3	-1.26228E+0	0.00000E+0	0.00000E+0
202.00000E+0	20.00000E-3	-7.92360E-3	-2.52411E+0	0.00000E+0	0.00000E+0
203.00000E+0	30.00000E-3	-7.91980E-3	-3.78797E+0	0.00000E+0	0.00000E+0
204.00000E+0	40.00000E-3	-7.91790E-3	-5.05184E+0	0.00000E+0	0.00000E+0
205.00000E+0	50.00000E-3	-7.91170E-3	-6.31975E+0	0.00000E+0	0.00000E+0
206.00000E+0	60.00000E-3	-7.91120E-3	-7.58418E+0	0.00000E+0	0.00000E+0
207.00000E+0	70.00000E-3	-7.90790E-3	-8.85191E+0	0.00000E+0	0.00000E+0
208.00000E+0	80.00000E-3	-7.90120E-3	-10.12504E+0	0.00000E+0	0.00000E+0
209.00000E+0	90.00000E-3	-7.89830E-3	-11.39486E+0	0.00000E+0	0.00000E+0
210.00000E+0	100.00000E-3	-7.89310E-3	-12.66929E+0	0.00000E+0	0.00000E+0
211.00000E+0	110.00000E-3	-7.88780E-3	-13.94559E+0	0.00000E+0	0.00000E+0
