===========================================
MEDIDA DE VI V3.2
===========================================

DÍA: 26/11/2024
HORA INICIO: 15:52:17
HORA FINAL: 16:04:14
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
TENSION(V)	CORRIENTE(A)	IMPEDANCIA(Ohm)	TIEMPO(seg)	LIMITE_I/V(0/1)
-1.32000E+0	-4.73450E-3	278.80452E+0	0.00000E+0	0.00000E+0
-1.31000E+0	-4.73050E-3	276.92633E+0	0.00000E+0	0.00000E+0
-1.30000E+0	-4.73090E-3	274.78915E+0	0.00000E+0	0.00000E+0
-1.29000E+0	-4.72860E-3	272.80802E+0	0.00000E+0	0.00000E+0
-1.28000E+0	-4.72710E-3	270.77912E+0	0.00000E+0	0.00000E+0
-1.27000E+0	-4.72450E-3	268.81151E+0	0.00000E+0	0.00000E+0
-1.26000E+0	-4.72350E-3	266.75135E+0	0.00000E+0	0.00000E+0
-1.25000E+0	-4.72090E-3	264.78002E+0	0.00000E+0	0.00000E+0
-1.24000E+0	-4.71900E-3	262.76754E+0	0.00000E+0	0.00000E+0
-1.23000E+0	-4.71850E-3	260.67606E+0	0.00000E+0	0.00000E+0
-1.22000E+0	-4.71540E-3	258.72673E+0	0.00000E+0	0.00000E+0
-1.21000E+0	-4.71350E-3	256.70945E+0	0.00000E+0	0.00000E+0
-1.20000E+0	-4.71110E-3	254.71758E+0	0.00000E+0	0.00000E+0
-1.19000E+0	-4.71110E-3	252.59494E+0	0.00000E+0	0.00000E+0
-1.18000E+0	-4.70760E-3	250.65851E+0	0.00000E+0	0.00000E+0
-1.17000E+0	-4.70610E-3	248.61350E+0	0.00000E+0	0.00000E+0
-1.16000E+0	-4.70450E-3	246.57243E+0	0.00000E+0	0.00000E+0
-1.15000E+0	-4.70260E-3	244.54557E+0	0.00000E+0	0.00000E+0
-1.14000E+0	-4.70210E-3	242.44487E+0	0.00000E+0	0.00000E+0
-1.13000E+0	-4.69900E-3	240.47670E+0	0.00000E+0	0.00000E+0
-1.12000E+0	-4.69760E-3	238.41962E+0	0.00000E+0	0.00000E+0
-1.11000E+0	-4.69490E-3	236.42676E+0	0.00000E+0	0.00000E+0
-1.10000E+0	-4.69350E-3	234.36668E+0	0.00000E+0	0.00000E+0
-1.09000E+0	-4.69350E-3	232.23607E+0	0.00000E+0	0.00000E+0
-1.08000E+0	-4.68950E-3	230.30174E+0	0.00000E+0	0.00000E+0
-1.07000E+0	-4.69060E-3	228.11581E+0	0.00000E+0	0.00000E+0
-1.06000E+0	-4.68800E-3	226.10922E+0	0.00000E+0	0.00000E+0
-1.05000E+0	-4.68710E-3	224.01912E+0	0.00000E+0	0.00000E+0
-1.04000E+0	-4.68400E-3	222.03245E+0	0.00000E+0	0.00000E+0
-1.03000E+0	-4.68440E-3	219.87875E+0	0.00000E+0	0.00000E+0
-1.02000E+0	-4.68160E-3	217.87423E+0	0.00000E+0	0.00000E+0
-1.01000E+0	-4.67850E-3	215.88116E+0	0.00000E+0	0.00000E+0
-1.00000E+0	-4.67940E-3	213.70261E+0	0.00000E+0	0.00000E+0
-990.00000E-3	-4.67710E-3	211.66962E+0	0.00000E+0	0.00000E+0
-980.00000E-3	-4.67560E-3	209.59877E+0	0.00000E+0	0.00000E+0
-970.00000E-3	-4.67300E-3	207.57543E+0	0.00000E+0	0.00000E+0
-960.00000E-3	-4.67300E-3	205.43548E+0	0.00000E+0	0.00000E+0
-950.00000E-3	-4.67060E-3	203.39999E+0	0.00000E+0	0.00000E+0
-940.00000E-3	-4.67010E-3	201.28049E+0	0.00000E+0	0.00000E+0
-930.00000E-3	-4.67010E-3	199.13920E+0	0.00000E+0	0.00000E+0
-920.00000E-3	-4.66660E-3	197.14567E+0	0.00000E+0	0.00000E+0
-910.00000E-3	-4.66660E-3	195.00279E+0	0.00000E+0	0.00000E+0
-900.00000E-3	-4.66390E-3	192.97155E+0	0.00000E+0	0.00000E+0
-890.00000E-3	-4.66350E-3	190.84379E+0	0.00000E+0	0.00000E+0
-880.00000E-3	-4.66110E-3	188.79664E+0	0.00000E+0	0.00000E+0
-870.00000E-3	-4.66110E-3	186.65122E+0	0.00000E+0	0.00000E+0
-860.00000E-3	-4.65960E-3	184.56520E+0	0.00000E+0	0.00000E+0
-850.00000E-3	-4.65700E-3	182.52094E+0	0.00000E+0	0.00000E+0
-840.00000E-3	-4.65700E-3	180.37363E+0	0.00000E+0	0.00000E+0
-830.00000E-3	-4.65560E-3	178.27992E+0	0.00000E+0	0.00000E+0
-820.00000E-3	-4.65560E-3	176.13197E+0	0.00000E+0	0.00000E+0
-810.00000E-3	-4.65300E-3	174.08124E+0	0.00000E+0	0.00000E+0
-800.00000E-3	-4.65200E-3	171.96905E+0	0.00000E+0	0.00000E+0
-790.00000E-3	-4.65110E-3	169.85229E+0	0.00000E+0	0.00000E+0
-780.00000E-3	-4.64840E-3	167.79967E+0	0.00000E+0	0.00000E+0
-770.00000E-3	-4.64890E-3	165.63058E+0	0.00000E+0	0.00000E+0
-760.00000E-3	-4.64700E-3	163.54637E+0	0.00000E+0	0.00000E+0
-750.00000E-3	-4.64700E-3	161.39445E+0	0.00000E+0	0.00000E+0
-740.00000E-3	-4.64510E-3	159.30766E+0	0.00000E+0	0.00000E+0
-730.00000E-3	-4.64460E-3	157.17177E+0	0.00000E+0	0.00000E+0
-720.00000E-3	-4.64250E-3	155.08885E+0	0.00000E+0	0.00000E+0
-710.00000E-3	-4.64110E-3	152.98097E+0	0.00000E+0	0.00000E+0
-700.00000E-3	-4.64250E-3	150.78083E+0	0.00000E+0	0.00000E+0
-690.00000E-3	-4.63910E-3	148.73575E+0	0.00000E+0	0.00000E+0
-680.00000E-3	-4.63960E-3	146.56436E+0	0.00000E+0	0.00000E+0
-670.00000E-3	-4.63750E-3	144.47439E+0	0.00000E+0	0.00000E+0
-660.00000E-3	-4.63750E-3	142.31806E+0	0.00000E+0	0.00000E+0
-650.00000E-3	-4.63460E-3	140.24943E+0	0.00000E+0	0.00000E+0
-640.00000E-3	-4.63510E-3	138.07685E+0	0.00000E+0	0.00000E+0
-630.00000E-3	-4.63460E-3	135.93406E+0	0.00000E+0	0.00000E+0
-620.00000E-3	-4.63150E-3	133.86592E+0	0.00000E+0	0.00000E+0
-610.00000E-3	-4.63250E-3	131.67836E+0	0.00000E+0	0.00000E+0
-600.00000E-3	-4.63060E-3	129.57284E+0	0.00000E+0	0.00000E+0
-590.00000E-3	-4.63100E-3	127.40229E+0	0.00000E+0	0.00000E+0
-580.00000E-3	-4.62840E-3	125.31328E+0	0.00000E+0	0.00000E+0
-570.00000E-3	-4.62960E-3	123.12079E+0	0.00000E+0	0.00000E+0
-560.00000E-3	-4.62790E-3	121.00521E+0	0.00000E+0	0.00000E+0
